tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010-05-06,53,19,25,21,11,53,PM10,SEDANG,DKI1
2010-05-07,67,19,33,33,16,67,PM10,SEDANG,DKI1
2010-05-08,57,16,24,26,9,57,PM10,SEDANG,DKI1
2010-05-09,0,16,28,51,16,51,O3,SEDANG,DKI1
2010-05-10,0,14,43,75,26,75,O3,SEDANG,DKI1
2010-05-11,0,14,42,60,24,60,O3,SEDANG,DKI1
2010-05-12,61,12,50,32,19,61,PM10,SEDANG,DKI1
2010-05-13,52,15,40,65,21,65,O3,SEDANG,DKI1
2010-05-14,59,12,46,69,26,69,O3,SEDANG,DKI1
2010-05-15,52,14,45,92,26,92,O3,SEDANG,DKI1
2010-05-16,56,12,29,65,15,65,O3,SEDANG,DKI1
2010-05-17,55,15,55,32,16,55,PM10,SEDANG,DKI1
2010-05-18,57,17,45,50,25,57,PM10,SEDANG,DKI1
2010-05-19,69,14,39,79,18,79,O3,SEDANG,DKI1
2010-05-20,58,14,38,57,21,58,PM10,SEDANG,DKI1
2010-05-21,53,14,37,60,18,60,O3,SEDANG,DKI1
2010-05-22,63,16,50,54,21,63,PM10,SEDANG,DKI1
2010-05-23,57,14,28,50,23,57,PM10,SEDANG,DKI1
2010-05-24,54,15,37,42,21,54,PM10,SEDANG,DKI1
2010-05-25,56,18,34,43,18,56,PM10,SEDANG,DKI1
2010-05-26,55,15,41,123,34,123,O3,TIDAK SEHAT,DKI1
2010-05-27,58,17,50,113,29,113,O3,TIDAK SEHAT,DKI1
2010-05-28,68,21,49,24,25,68,PM10,SEDANG,DKI1
2010-05-29,54,16,30,28,14,54,PM10,SEDANG,DKI1
2010-05-30,59,14,41,64,16,64,O3,SEDANG,DKI1
2010-05-31,56,16,33,25,15,56,PM10,SEDANG,DKI1
2010-06-01,55,20,35,31,20,55,PM10,SEDANG,DKI1
2010-06-02,58,14,42,93,26,93,O3,SEDANG,DKI1
2010-06-03,72,19,38,55,22,72,PM10,SEDANG,DKI1
2010-06-04,59,18,36,30,19,59,PM10,SEDANG,DKI1
2010-06-05,57,15,39,87,21,87,O3,SEDANG,DKI1
2010-06-06,59,18,47,42,25,59,PM10,SEDANG,DKI1
2010-06-07,70,16,39,52,21,70,PM10,SEDANG,DKI1
2010-06-08,77,19,95,18,30,95,CO,SEDANG,DKI1
2010-06-09,54,20,36,45,25,54,PM10,SEDANG,DKI1
2010-06-10,79,23,46,34,24,79,PM10,SEDANG,DKI1
2010-06-11,60,21,33,27,14,60,PM10,SEDANG,DKI1
2010-06-12,64,20,39,23,13,64,PM10,SEDANG,DKI1
2010-06-13,59,15,64,29,15,64,CO,SEDANG,DKI1
2010-06-14,55,22,31,29,14,55,PM10,SEDANG,DKI1
2010-06-15,57,20,34,31,20,57,PM10,SEDANG,DKI1
2010-06-16,55,17,71,27,38,71,CO,SEDANG,DKI1
2010-06-17,75,21,71,30,29,75,PM10,SEDANG,DKI1
2010-06-18,74,21,50,74,29,74,PM10,SEDANG,DKI1
2010-06-19,59,14,37,71,26,71,O3,SEDANG,DKI1
2010-06-20,49,15,23,28,9,49,PM10,BAIK,DKI1
2010-06-21,51,18,31,28,13,51,PM10,SEDANG,DKI1
2010-06-22,58,17,36,41,21,58,PM10,SEDANG,DKI1
2010-06-23,64,17,32,41,23,64,PM10,SEDANG,DKI1
2010-06-24,0,0,30,0,0,30,CO,BAIK,DKI1
2010-06-25,0,0,0,0,0,0,,TIDAK ADA DATA,
2010-06-26,56,19,30,44,22,56,PM10,SEDANG,DKI1
2010-06-27,69,18,46,55,25,69,PM10,SEDANG,DKI1
2010-06-28,60,15,40,36,19,60,PM10,SEDANG,DKI1
2010-06-29,65,17,34,33,14,65,PM10,SEDANG,DKI1
2010-06-30,50,17,29,22,12,50,PM10,BAIK,DKI1
2010-07-01,55,21,25,27,12,55,PM10,SEDANG,DKI1
2010-07-02,62,22,37,66,19,66,O3,SEDANG,DKI1
2010-07-03,64,15,34,76,20,76,O3,SEDANG,DKI1
2010-07-04,56,13,46,51,23,56,PM10,SEDANG,DKI1
2010-07-05,54,21,30,36,14,54,PM10,SEDANG,DKI1
2010-07-06,55,20,34,35,19,55,PM10,SEDANG,DKI1
2010-07-07,63,19,37,37,20,63,PM10,SEDANG,DKI1
2010-07-08,74,18,71,43,22,74,PM10,SEDANG,DKI1
2010-07-09,51,16,34,39,20,51,PM10,SEDANG,DKI1
2010-07-10,55,16,44,34,20,55,PM10,SEDANG,DKI1
2010-07-11,58,17,43,33,18,58,PM10,SEDANG,DKI1
2010-07-12,61,16,43,64,29,64,O3,SEDANG,DKI1
2010-07-13,66,15,36,33,21,66,PM10,SEDANG,DKI1
2010-07-14,61,18,37,30,21,61,PM10,SEDANG,DKI1
2010-07-15,63,17,31,31,15,63,PM10,SEDANG,DKI1
2010-07-16,63,17,39,31,21,63,PM10,SEDANG,DKI1
2010-07-17,81,20,41,43,23,81,PM10,SEDANG,DKI1
2010-07-18,61,16,33,45,23,61,PM10,SEDANG,DKI1
2010-07-19,53,14,35,37,21,53,PM10,SEDANG,DKI1
2010-07-20,52,17,40,54,27,54,O3,SEDANG,DKI1
2010-07-21,60,17,41,39,22,60,PM10,SEDANG,DKI1
2010-07-22,62,18,39,60,22,62,PM10,SEDANG,DKI1
2010-07-23,65,25,36,46,20,65,PM10,SEDANG,DKI1
2010-07-24,55,17,30,45,17,55,PM10,SEDANG,DKI1
2010-07-25,60,16,27,65,17,65,O3,SEDANG,DKI1
2010-07-26,62,17,31,40,16,62,PM10,SEDANG,DKI1
2010-07-27,49,13,31,29,11,49,PM10,BAIK,DKI1
2010-07-28,57,22,44,59,24,59,O3,SEDANG,DKI1
2010-07-29,63,14,40,38,20,63,PM10,SEDANG,DKI1
2010-07-30,48,15,31,22,10,48,PM10,BAIK,DKI1
2010-07-31,50,16,21,25,10,50,PM10,BAIK,DKI1
2010-08-01,48,12,19,47,25,48,PM10,BAIK,DKI1
2010-08-02,57,15,36,57,29,57,PM10,SEDANG,DKI1
2010-08-03,61,13,31,48,17,61,PM10,SEDANG,DKI1
2010-08-04,0,0,0,0,0,0,,TIDAK ADA DATA,
2010-08-05,76,16,0,56,26,76,PM10,SEDANG,DKI1
2010-08-06,60,17,38,59,17,60,PM10,SEDANG,DKI1
